,Assemblage,Site,Depth,Period,Order.q,SC,m,Method,qTD,s.e.,qTD.LCL,qTD.UCL
1,CV_5_15m_2014_2015,Coral View,5_15,2014_2015,0,0.971555446,468.6479106,Rarefaction,47.56476349,1.639370788,44.35165579,50.77787119
2,CV_5_15m_2014_2015,Coral View,5_15,2014_2015,2,0.971555446,468.6479106,Rarefaction,6.136470174,0.297771233,5.552849281,6.720091067
3,CV_5_15m_2022_2023,Coral View,5_15,2022_2023,0,0.971555446,473.0116217,Rarefaction,43.98532415,1.776745621,40.50296673,47.46768158
4,CV_5_15m_2022_2023,Coral View,5_15,2022_2023,2,0.971555446,473.0116217,Rarefaction,8.105819936,0.311563641,7.495166419,8.716473452
5,LB_5_15m_2014_2015,Little Bight,5_15,2014_2015,0,0.971555446,434.1447347,Rarefaction,42.69425737,1.415144036,39.92062603,45.46788872
6,LB_5_15m_2014_2015,Little Bight,5_15,2014_2015,2,0.971555446,434.1447347,Rarefaction,11.51211333,0.386153695,10.755266,12.26896067
7,LB_5_15m_2022_2023,Little Bight,5_15,2022_2023,0,0.971555446,435.1447539,Rarefaction,39.80242818,1.940162739,35.99977909,43.60507727
8,LB_5_15m_2022_2023,Little Bight,5_15,2022_2023,2,0.971555446,435.1447539,Rarefaction,10.25098117,0.339431164,9.585708312,10.91625403
9,RC_5_15m_2014_2015,Raggedy Cay,5_15,2014_2015,0,0.971555446,320.7023022,Rarefaction,24.6304759,1.569409532,21.55448974,27.70646206
10,RC_5_15m_2014_2015,Raggedy Cay,5_15,2014_2015,2,0.971555446,320.7023022,Rarefaction,5.302121373,0.129652767,5.048006619,5.556236128
11,RC_5_15m_2022_2023,Raggedy Cay,5_15,2022_2023,0,0.971555446,376.3052382,Rarefaction,32.53469878,1.041950694,30.49251295,34.57688462
12,RC_5_15m_2022_2023,Raggedy Cay,5_15,2022_2023,2,0.971555446,376.3052382,Rarefaction,4.547363702,0.111752077,4.328333655,4.766393749
13,RP_5_15m_2014_2015,Rocky Point,5_15,2014_2015,0,0.971555446,305.1636461,Rarefaction,29.75628503,1.161264262,27.4802489,32.03232116
14,RP_5_15m_2014_2015,Rocky Point,5_15,2014_2015,2,0.971555446,305.1636461,Rarefaction,7.670659386,0.33652398,7.011084505,8.330234266
15,RP_5_15m_2022_2023,Rocky Point,5_15,2022_2023,0,0.971555446,366.5094573,Rarefaction,38.4919256,1.046288866,36.44123711,40.54261409
16,RP_5_15m_2022_2023,Rocky Point,5_15,2022_2023,2,0.971555446,366.5094573,Rarefaction,9.428316667,0.277759709,8.883917641,9.972715692
17,TM_5_15m_2014_2015,The Maze,5_15,2014_2015,0,0.971555446,337.2560319,Rarefaction,29.91988389,1.056614548,27.84895744,31.99081035
18,TM_5_15m_2014_2015,The Maze,5_15,2014_2015,2,0.971555446,337.2560319,Rarefaction,7.210378176,0.14591619,6.924387698,7.496368654
19,TM_5_15m_2022_2023,The Maze,5_15,2022_2023,0,0.971555446,430.352569,Rarefaction,37.67040812,1.127051689,35.4614274,39.87938884
20,TM_5_15m_2022_2023,The Maze,5_15,2022_2023,2,0.971555446,430.352569,Rarefaction,6.475991292,0.129592055,6.221995532,6.729987053
21,CV_25_40m_2014_2015,Coral View,25_40,2014_2015,0,0.971555446,340.1166546,Rarefaction,43.31198663,2.385945945,38.63561851,47.98835475
22,CV_25_40m_2014_2015,Coral View,25_40,2014_2015,2,0.971555446,340.1166546,Rarefaction,8.790152195,0.529462118,7.752425513,9.827878878
23,CV_25_40m_2022_2023,Coral View,25_40,2022_2023,0,0.971555446,218.2073383,Extrapolation,32.80920049,5.775776239,21.48888708,44.1295139
24,CV_25_40m_2022_2023,Coral View,25_40,2022_2023,2,0.971555446,218.2073383,Extrapolation,7.425073403,0.93246857,5.59746859,9.252678216
25,LB_25_40m_2014_2015,Little Bight,25_40,2014_2015,0,0.971555446,494.9707294,Rarefaction,47.86525126,2.114050265,43.72178888,52.00871364
26,LB_25_40m_2014_2015,Little Bight,25_40,2014_2015,2,0.971555446,494.9707294,Rarefaction,8.519587167,0.469897672,7.598604653,9.440569681
27,LB_25_40m_2022_2023,Little Bight,25_40,2022_2023,0,0.971555446,510,Extrapolation,43.42760425,10.22300253,23.39088748,63.46432102
28,LB_25_40m_2022_2023,Little Bight,25_40,2022_2023,2,0.971555446,510,Extrapolation,14.27175909,1.213713264,11.8929248,16.65059337
29,RC_25_40m_2014_2015,Raggedy Cay,25_40,2014_2015,0,0.971555446,431.8262036,Rarefaction,32.10560404,3.911171834,24.43984811,39.77135997
30,RC_25_40m_2014_2015,Raggedy Cay,25_40,2014_2015,2,0.971555446,431.8262036,Rarefaction,6.449408067,0.236124454,5.986612641,6.912203492
31,RC_25_40m_2022_2023,Raggedy Cay,25_40,2022_2023,0,0.971555446,432.0943272,Rarefaction,40.72470425,3.193310975,34.46592975,46.98347876
32,RC_25_40m_2022_2023,Raggedy Cay,25_40,2022_2023,2,0.971555446,432.0943272,Rarefaction,6.423516193,0.384729313,5.669460595,7.17757179
33,RP_25_40m_2014_2015,Rocky Point,25_40,2014_2015,0,0.971555446,454.782716,Rarefaction,43.32026632,1.386280649,40.60320617,46.03732646
34,RP_25_40m_2014_2015,Rocky Point,25_40,2014_2015,2,0.971555446,454.782716,Rarefaction,4.691546633,0.232120041,4.236599713,5.146493554
35,RP_25_40m_2022_2023,Rocky Point,25_40,2022_2023,0,0.971555446,424.7434714,Rarefaction,47.65980377,6.003181881,35.89378349,59.42582405
36,RP_25_40m_2022_2023,Rocky Point,25_40,2022_2023,2,0.971555446,424.7434714,Rarefaction,5.322751595,0.448906306,4.442911403,6.202591788
37,TM_25_40m_2014_2015,The Maze,25_40,2014_2015,0,0.971555446,414.2597408,Rarefaction,36.17246428,2.426987306,31.41565656,40.92927199
38,TM_25_40m_2014_2015,The Maze,25_40,2014_2015,2,0.971555446,414.2597408,Rarefaction,5.747002271,0.250939308,5.255170265,6.238834276
39,TM_25_40m_2022_2023,The Maze,25_40,2022_2023,0,0.971555446,337.0964336,Rarefaction,36.74643548,2.986649137,30.89271073,42.60016022
40,TM_25_40m_2022_2023,The Maze,25_40,2022_2023,2,0.971555446,337.0964336,Rarefaction,8.003801284,0.545546541,6.934549712,9.073052857
