Assemblage,Site,Depth,Period,Order.q,SC,m,Method,qFD,s.e.,qFD.LCL,qFD.UCL
CV_25_40m_2014_2015,Coral View,25_40,2014_2015,0,0.9715554,340.1163248,Rarefaction,10.08043499,0.482134205,9.135469315,11.02540067
CV_25_40m_2022_2023,Coral View,25_40,2022_2023,0,0.9715554,218.2072137,Extrapolation,7.392879235,0.564346835,6.286779762,8.498978707
CV_5_15m_2014_2015,Coral View,5_15,2014_2015,0,0.9715554,468.6472197,Rarefaction,9.660795526,0.179035812,9.309891783,10.01169927
CV_5_15m_2022_2023,Coral View,5_15,2022_2023,0,0.9715554,473.0108045,Rarefaction,9.177856294,0.294271543,8.601094667,9.75461792
LB_25_40m_2014_2015,Little Bight,25_40,2014_2015,0,0.9715554,494.9699485,Rarefaction,10.15558979,0.382501646,9.405900337,10.90527924
LB_25_40m_2022_2023,Little Bight,25_40,2022_2023,0,0.9715554,509.9991818,Extrapolation,9.312167135,3.814265369,1.836344384,16.78798989
LB_5_15m_2014_2015,Little Bight,5_15,2014_2015,0,0.9715554,434.1441463,Rarefaction,8.796914532,0.132779451,8.53667159,9.057157473
LB_5_15m_2022_2023,Little Bight,5_15,2022_2023,0,0.9715554,435.1438643,Rarefaction,8.808120781,0.316745051,8.187311889,9.428929672
RC_25_40m_2014_2015,Raggedy Cay,25_40,2014_2015,0,0.9715554,431.825238,Rarefaction,7.778675692,1.270843079,5.287869027,10.26948236
RC_25_40m_2022_2023,Raggedy Cay,25_40,2022_2023,0,0.9715554,432.0937491,Rarefaction,8.587519418,0.28793306,8.023180991,9.151857845
RC_5_15m_2014_2015,Raggedy Cay,5_15,2014_2015,0,0.9715554,320.7016693,Rarefaction,7.550413024,0.327025218,6.909455375,8.191370673
RC_5_15m_2022_2023,Raggedy Cay,5_15,2022_2023,0,0.9715554,376.3046139,Rarefaction,7.985103243,0.165574746,7.660582703,8.309623783
RP_25_40m_2014_2015,Rocky Point,25_40,2014_2015,0,0.9715554,454.7821759,Rarefaction,8.440547291,0.207737562,8.033389151,8.847705431
RP_25_40m_2022_2023,Rocky Point,25_40,2022_2023,0,0.9715554,424.7428482,Rarefaction,8.537350337,0.877830805,6.816833575,10.2578671
RP_5_15m_2014_2015,Rocky Point,5_15,2014_2015,0,0.9715554,305.1630893,Rarefaction,7.921466573,0.133151334,7.660494753,8.182438392
RP_5_15m_2022_2023,Rocky Point,5_15,2022_2023,0,0.9715554,366.5089423,Rarefaction,8.282744894,0.280629912,7.732720372,8.832769415
TM_25_40m_2014_2015,The Maze,25_40,2014_2015,0,0.9715554,414.2592011,Rarefaction,7.826128281,0.761511233,6.33359369,9.318662872
TM_25_40m_2022_2023,The Maze,25_40,2022_2023,0,0.9715554,337.0959798,Rarefaction,8.280594673,0.438596009,7.420962292,9.140227054
TM_5_15m_2014_2015,The Maze,5_15,2014_2015,0,0.9715554,337.2554673,Rarefaction,7.819973231,0.196497657,7.4348449,8.205101562
TM_5_15m_2022_2023,The Maze,5_15,2022_2023,0,0.9715554,430.3518928,Rarefaction,8.820195954,0.156913771,8.512650613,9.127741294
CV_25_40m_2014_2015,Coral View,25_40,2014_2015,2,1,Inf,Extrapolation,4.545854723,0.147492446,4.256774841,4.834934606
CV_25_40m_2022_2023,Coral View,25_40,2022_2023,2,1,Inf,Extrapolation,3.656391647,0.265394269,3.136228438,4.176554855
CV_5_15m_2014_2015,Coral View,5_15,2014_2015,2,1,Inf,Extrapolation,3.371389372,0.111944867,3.151981465,3.59079728
CV_5_15m_2022_2023,Coral View,5_15,2022_2023,2,1,Inf,Extrapolation,3.963734814,0.093342482,3.780786912,4.146682716
LB_25_40m_2014_2015,Little Bight,25_40,2014_2015,2,1,Inf,Extrapolation,4.237932106,0.137286634,3.968855247,4.507008965
LB_25_40m_2022_2023,Little Bight,25_40,2022_2023,2,1,Inf,Extrapolation,5.498679592,0.304675718,4.901526157,6.095833027
LB_5_15m_2014_2015,Little Bight,5_15,2014_2015,2,1,Inf,Extrapolation,5.045128617,0.092902393,4.863043274,5.227213961
LB_5_15m_2022_2023,Little Bight,5_15,2022_2023,2,1,Inf,Extrapolation,4.464336729,0.102421824,4.263593643,4.665079816
RC_25_40m_2014_2015,Raggedy Cay,25_40,2014_2015,2,1,Inf,Extrapolation,3.193174741,0.079808964,3.036752046,3.349597437
RC_25_40m_2022_2023,Raggedy Cay,25_40,2022_2023,2,1,Inf,Extrapolation,2.609727833,0.119208612,2.376083247,2.843372419
RC_5_15m_2014_2015,Raggedy Cay,5_15,2014_2015,2,1,Inf,Extrapolation,3.235040747,0.067890122,3.101978552,3.368102941
RC_5_15m_2022_2023,Raggedy Cay,5_15,2022_2023,2,1,Inf,Extrapolation,2.748234876,0.044133489,2.661734827,2.834734926
RP_25_40m_2014_2015,Rocky Point,25_40,2014_2015,2,1,Inf,Extrapolation,2.937393308,0.072641488,2.795018608,3.079768009
RP_25_40m_2022_2023,Rocky Point,25_40,2022_2023,2,1,Inf,Extrapolation,2.893088512,0.139801505,2.619082597,3.167094427
RP_5_15m_2014_2015,Rocky Point,5_15,2014_2015,2,1,Inf,Extrapolation,3.99971112,0.107771065,3.788483714,4.210938525
RP_5_15m_2022_2023,Rocky Point,5_15,2022_2023,2,1,Inf,Extrapolation,4.436648594,0.061209195,4.316680775,4.556616412
TM_25_40m_2014_2015,The Maze,25_40,2014_2015,2,1,Inf,Extrapolation,2.358783425,0.088344188,2.185631998,2.531934852
TM_25_40m_2022_2023,The Maze,25_40,2022_2023,2,1,Inf,Extrapolation,2.927959058,0.139403235,2.654733739,3.201184377
TM_5_15m_2014_2015,The Maze,5_15,2014_2015,2,1,Inf,Extrapolation,3.853390054,0.061632511,3.732592552,3.974187555
TM_5_15m_2022_2023,The Maze,5_15,2022_2023,2,1,Inf,Extrapolation,3.513954887,0.043348844,3.428992714,3.59891706
